approx_playtime,song_id,artist,song_name
"2021-11-23 18:55","song-188560","Danny Gokey","Stand In Faith"
"2021-11-23 18:58","song-184117","Big Daddy Weave","I Know"
"2021-11-23 19:03","song-183875","Lincoln Brewster","Made New"
"2021-11-23 19:06","song-188505","Tasha Layton","Look What You've Done"
"2021-11-23 19:09","song-188450","Lauren Daigle","Hold On To Me"
"2021-11-23 19:12","song-188564","Andrew Ripp","Rejoice"
"2021-11-23 19:21","song-184150","MercyMe","God With Us"
"2021-11-23 19:25","song-188559","TobyMac","Promised Land"
"2021-11-23 19:28","song-186919","Kristian Stanfill","My Heart Is Yours (feat. Kristian Stanfill)"
"2021-11-23 19:35","song-188530","Jeremy Camp","When You Speak"
"2021-11-23 19:38","song-188010","CAIN","Rise Up (Lazarus)"
"2021-11-23 19:41","song-188563","Sanctus Real","My God Is Still The Same"
"2021-11-23 19:48","song-187968","Josh Wilson","Revolutionary"
"2021-11-23 19:52","song-188538","Chris Tomlin","Thank You Lord (feat. Thomas Rhett & Florida Georgia Line)"
"2021-11-23 19:54","song-187570","Micah Tyler","Never Been A Moment"
"2021-11-23 19:58","song-188522","Matthew West","What If"
"2021-11-23 20:02","song-187557","Tauren Wells","Famous For (I Believe)"
"2021-11-23 20:05","song-186749","Jonny Diaz","Breathe"
"2021-11-23 20:09","song-188539","Crowder","In The house"
"2021-11-23 20:12","song-187445","I AM THEY","No Impossible with You"
"2021-11-23 20:18","song-188568","Brandon Lake","Too Good To Not Believe (feat. Jenn Johnson)"
"2021-11-23 20:22","song-188555","for KING & COUNTRY","Relate"
"2021-11-23 20:25","song-185631","Phil Wickham","Your Love Awakens Me"
"2021-11-23 20:31","song-188492","CAIN","Yes He Can"
"2021-11-23 20:34","song-188570","Jon Reddick","God, Turn It Around (feat. Matt Maher)"
"2021-11-23 20:38","song-184477","Jeremy Camp","Keep Me In The Moment"
"2021-11-23 20:47","song-188557","We Are Messengers","Come What May"
"2021-11-23 20:50","song-183315","Chris Tomlin","I Will Follow"
"2021-11-23 20:53","song-188488","Maverick City Music","Promises (feat. Joe L. Barnes & Naomi Raine)"
"2021-11-23 20:58","song-188025","Andrew Ripp","Jericho"
"2021-11-23 21:01","song-187614","Elevation Worship","See A Victory"
"2021-11-23 21:05","song-186933","Ryan Stevenson","No Matter What (feat. Bart Millard)"
"2021-11-23 21:09","song-188514","Blanca","Even At My Worst"
"2021-11-23 21:12","song-183627","TobyMac","Feel It (feat. Mr. TalkBox)"
"2021-11-23 21:17","song-188571","MercyMe","On Our Way (feat. Sam Wesley)"
"2021-11-23 21:21","song-188505","Tasha Layton","Look What You've Done"
"2021-11-23 21:24","song-187054","for KING & COUNTRY","It's Not Over Yet"
"2021-11-23 21:28","song-188503","Tauren Wells","Until Grace (feat. Rascal Flatts)"
"2021-11-23 21:31","song-188526","Ryan Ellis","Heart of the Father"
"2021-11-23 21:35","song-188018","Casting Crowns","Start Right Here"
"2021-11-23 21:39","song-188530","Jeremy Camp","When You Speak"
"2021-11-23 21:45","song-184531","Sanctus Real","Confidence"
